hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H36	Adverse move speed	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0281	7.1058	7.2062	OK
H36	Adverse move speed	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0271	6.568	6.6605	OK
H36	Adverse move speed	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1161	8.8438	8.9599	OK
H37	Bar formation rate	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0405	6.4434	6.5552	OK
H37	Bar formation rate	C	bar_data_10sec_rot												0.0	0.0	0.0	N/A_10SEC
H37	Bar formation rate	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0392	6.0315	6.1356	OK
H39	Cycle adverse velocity ratio	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0285	7.0021	7.1008	OK
H39	Cycle adverse velocity ratio	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0263	6.5399	6.6313	OK
H39	Cycle adverse velocity ratio	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1093	8.833	8.9424	OK
H40	Band-relative speed regime	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0393	6.452	6.5632	OK
H40	Band-relative speed regime	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0358	6.0191	6.1201	OK
H40	Band-relative speed regime	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1307	8.0267	8.1575	OK
H41	Band-relative ATR behavior	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0286	6.5188	6.6181	OK
H41	Band-relative ATR behavior	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0267	5.9695	6.0625	OK
H41	Band-relative ATR behavior	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1072	7.9279	8.0352	OK
H13	Selective flat periods	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0287	6.3331	6.4324	OK
H13	Selective flat periods	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0259	5.9345	6.0265	OK
H13	Selective flat periods	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1054	7.8919	7.9973	OK
H14	Adaptive martingale progression	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0284	6.4426	6.5418	OK
H14	Adaptive martingale progression	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0267	5.9338	6.0262	OK
H14	Adaptive martingale progression	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1074	7.9825	8.09	OK
H15	Alternative anchor strategies	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.031	6.3939	6.4952	OK
H15	Alternative anchor strategies	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0256	5.951	6.0417	OK
H15	Alternative anchor strategies	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1097	8.0814	8.1911	OK
H20	Partial rotation	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0305	6.3323	6.4364	OK
H20	Partial rotation	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.027	6.0586	6.1525	OK
H20	Partial rotation	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1166	8.6689	8.7856	OK
H21	Cycle profit target	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.031	6.3697	6.4751	OK
H21	Cycle profit target	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0262	5.9803	6.0727	OK
H21	Cycle profit target	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1071	8.0244	8.1315	OK
H22	Cycle time decay	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0283	6.3214	6.4223	OK
H22	Cycle time decay	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0254	5.9014	5.9929	OK
H22	Cycle time decay	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1089	7.9313	8.0403	OK
H23	Conditional adds	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0293	6.3469	6.4485	OK
H23	Conditional adds	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0253	5.9592	6.0517	OK
H23	Conditional adds	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1188	8.0042	8.1231	OK
H24	Intra-cycle de-escalation	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0274	6.3299	6.4288	OK
H24	Intra-cycle de-escalation	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0255	5.9229	6.0149	OK
H24	Intra-cycle de-escalation	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1097	8.0235	8.1332	OK
H25	Higher-timeframe context	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.028	6.3496	6.4485	OK
H25	Higher-timeframe context	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0332	5.9081	6.0084	OK
H25	Higher-timeframe context	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1087	7.9364	8.0451	OK
H26	Session range position	D	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0282	6.3306	6.4305	OK
H26	Session range position	D	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0255	5.9483	6.0395	OK
H26	Session range position	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1061	8.0315	8.1376	OK
H18	Directional asymmetry	E	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0224	6.8317	6.9258	OK
H18	Directional asymmetry	E	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.02	6.4825	6.5693	OK
H18	Directional asymmetry	E	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.0997	8.5546	8.6543	OK
H19	Bar-type divergence signal	E	bar_data_250vol_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H19	Bar-type divergence signal	E	bar_data_250tick_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H19	Bar-type divergence signal	E	bar_data_10sec_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H27	Volatility rate of change	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0312	6.4545	6.5569	OK
H27	Volatility rate of change	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0269	6.0649	6.1583	OK
H27	Volatility rate of change	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1167	8.1231	8.2398	OK
H28	Price momentum / ROC	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0316	6.49	6.5958	OK
H28	Price momentum / ROC	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0275	6.1136	6.2079	OK
H28	Price momentum / ROC	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1215	8.2829	8.4044	OK
H29	Acceleration / deceleration	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.032	6.4013	6.5074	OK
H29	Acceleration / deceleration	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0271	5.9529	6.0461	OK
H29	Acceleration / deceleration	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1132	8.0883	8.2015	OK
H30	Volatility compression breakout	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0345	6.3673	6.474	OK
H30	Volatility compression breakout	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0311	5.9732	6.0696	OK
H30	Volatility compression breakout	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1321	7.9855	8.1176	OK
H31	Momentum divergence from price	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0309	6.3093	6.41	OK
H31	Momentum divergence from price	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.029	6.0263	6.1205	OK
H31	Momentum divergence from price	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1261	8.1078	8.234	OK
H32	Volume rate of change	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0316	6.7207	6.8641	OK
H32	Volume rate of change	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0278	6.1079	6.203	OK
H32	Volume rate of change	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1138	8.1085	8.2224	OK
H38	Regime transition speed	F	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	4.2524	8.4741	12.7987	OK
H38	Regime transition speed	F	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	3.8915	7.9284	11.8862	OK
H38	Regime transition speed	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	18.8647	10.8083	29.673	OK
