config_id,step_dist,add_dist,max_adds,reversal_target,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,exit_type,progress_hwm,time_between_adds,cycle_day_seq,cycle_start_hour,progress_at_adds,prev_cycle_exit_type,cycle_waste_pct,would_flatten_reseed,half_block_profit
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,521,2025-10-15 11:55:32.922000,2025-10-15 12:02:31.938000,10066,6.98,7208587,7218652,LONG,0,1,112.0,108.0,28.0,-15.25,8.1875,90.60000000000001,10.875,34.5,1.0,7.75,SUCCESS,80.0,,22,11,,FAILURE,88.3929,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,522,2025-10-15 12:02:31.938000,2025-10-15 12:05:01.896000,2970,2.5,7218652,7221621,SHORT,0,1,112.0,108.0,28.0,-5.25,8.1875,87.0,11.875,31.575000000000003,1.0,7.75,SUCCESS,80.0,,23,12,,SUCCESS,26.7321,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,523,2025-10-15 12:05:01.896000,2025-10-15 12:08:00.490000,3760,2.98,7221621,7225380,LONG,0,1,112.0,108.0,28.0,-15.5,8.7,96.10000000000001,13.5,31.575000000000003,1.0,7.875,SUCCESS,80.0,,24,12,,SUCCESS,36.4821,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,524,2025-10-15 12:08:00.490000,2025-10-15 12:17:05.628003,8396,9.09,7225380,7233775,SHORT,0,1,112.0,108.0,28.0,-13.0,9.6875,99.4,13.5,31.575000000000003,1.0,8.75,SUCCESS,80.0,,25,12,,SUCCESS,78.6786,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,525,2025-10-15 12:17:05.628003,2025-10-15 12:25:05.639002,6979,8.0,7233775,7240753,LONG,0,1,112.0,108.0,28.0,-14.0,9.35,97.60000000000001,13.375,31.025,1.0,9.625,SUCCESS,80.0,,26,12,,SUCCESS,66.3036,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,526,2025-10-15 12:25:05.639002,2025-10-15 12:33:51.303000,8227,8.76,7240753,7248979,SHORT,0,1,112.0,108.0,28.0,-24.75,9.3,95.30000000000001,13.375,31.72500000000001,1.0,7.625,SUCCESS,80.0,,27,12,,SUCCESS,69.7679,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,527,2025-10-15 12:33:51.303000,2025-10-15 12:53:53.736000,15094,20.04,7248979,7264072,LONG,0,1,-140.0,-144.0,27.5,-35.0,9.2125,91.4,13.375,31.72500000000001,1.0,7.625,FAILURE,78.57,,28,12,,SUCCESS,110.3143,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,528,2025-10-15 12:53:53.736000,2025-10-15 13:00:09.758001,6000,6.27,7264072,7270071,SHORT,0,1,112.0,108.0,28.0,-17.5,9.0125,81.80000000000001,12.625,29.325000000000003,1.0,8.5,SUCCESS,80.0,,29,12,,FAILURE,50.2679,False,72.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,529,2025-10-15 13:00:09.758001,2025-10-15 13:00:53.003023,2364,0.72,7270071,7272434,LONG,0,1,-140.0,-144.0,7.25,-35.0,9.1,84.4,17.375,27.97500000000001,1.0,9.0,FAILURE,20.71,,30,13,,SUCCESS,18.9286,False,
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,530,2025-10-15 13:00:53.003023,2025-10-15 13:08:13.382006,10756,7.34,7272434,7283189,SHORT,0,1,112.0,108.0,28.0,-16.25,9.8,98.80000000000001,19.75,33.975,1.0,9.75,SUCCESS,80.0,,31,13,,FAILURE,102.8929,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,531,2025-10-15 13:08:13.382006,2025-10-15 13:09:14.528000,2509,1.02,7283189,7285697,LONG,0,1,-140.0,-144.0,0.5,-35.0,9.2,79.2,14.5,33.525000000000006,1.0,9.125,FAILURE,1.43,,32,13,,SUCCESS,16.3,False,
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,532,2025-10-15 13:09:14.528000,2025-10-15 13:11:06.430004,3876,1.87,7285697,7289572,SHORT,0,1,112.0,108.0,28.0,-16.75,8.625,59.0,14.5,33.525000000000006,1.0,8.75,SUCCESS,80.0,,33,13,,FAILURE,33.7857,False,72.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,533,2025-10-15 13:11:06.430004,2025-10-15 13:13:47.208001,7288,2.68,7289572,7296859,LONG,0,1,-140.0,-144.0,2.0,-35.0,8.3375,43.400000000000006,14.5,37.000000000000014,1.0,8.25,FAILURE,5.71,,34,13,,SUCCESS,55.5429,False,
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,534,2025-10-15 13:13:47.208001,2025-10-15 13:15:05.865005,2916,1.31,7296859,7299774,SHORT,0,1,112.0,108.0,28.0,-18.5,10.2625,99.60000000000001,15.375,33.375,1.0,10.25,SUCCESS,80.0,,35,13,,FAILURE,28.5893,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,535,2025-10-15 13:15:05.865005,2025-10-15 13:17:00.683001,6761,1.91,7299774,7306534,LONG,0,1,112.0,108.0,28.0,-24.25,9.7,91.60000000000001,15.375,33.375,1.0,8.75,SUCCESS,80.0,,36,13,,SUCCESS,67.5179,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,536,2025-10-15 13:17:00.683001,2025-10-15 13:19:09.323027,5343,2.14,7306534,7311876,SHORT,0,1,-140.0,-144.0,5.75,-35.0,9.7125,90.2,17.75,35.85000000000002,1.0,8.0,FAILURE,16.43,,37,13,,SUCCESS,41.9571,False,
