config_id,step_dist,add_dist,max_adds,reversal_target,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,exit_type,progress_hwm,time_between_adds,cycle_day_seq,cycle_start_hour,progress_at_adds,prev_cycle_exit_type,cycle_waste_pct,would_flatten_reseed,half_block_profit
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1064,2025-11-14 15:49:58.610001,2025-11-14 16:09:08.184000,33070,19.16,16970017,17003086,SHORT,1,2,-300.0,-308.0,10.5,-37.5,7.4,0.0,8.875,25.125000000000007,1.0,7.75,FAILURE,5.5,,63,15,-50.0,FAILURE,119.25,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1066,2025-11-17 09:32:11.099088,2025-11-17 09:33:08.134000,3909,0.95,17017624,17021532,LONG,0,1,120.0,114.0,30.0,-4.5,9.825,82.4,15.0,31.675000000000004,1.0,10.0,SUCCESS,60.0,,1,9,,SESSION_START,35.9667,False,98.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1067,2025-11-17 09:33:08.134000,2025-11-17 09:36:40.695000,11400,3.54,17021532,17032931,SHORT,1,2,-302.0,-310.0,20.25,-37.75,10.1875,87.4,12.25,38.02500000000007,1.0,10.0,FAILURE,40.5,,2,9,-50.0,SUCCESS,56.99,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1068,2025-11-17 09:36:40.695000,2025-11-17 09:37:31.093000,2309,0.84,17032931,17035239,LONG,0,1,120.0,116.0,30.0,-3.75,9.275,76.10000000000001,14.375,27.67500000000001,1.0,8.375,SUCCESS,60.0,,3,9,,FAILURE,18.8,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1069,2025-11-17 09:37:31.093000,2025-11-17 09:47:13.849011,23376,9.71,17035239,17058614,SHORT,1,2,-300.0,-308.0,28.5,-37.5,8.3375,41.2,14.375,27.67500000000001,1.0,8.125,FAILURE,33.0,,4,9,-50.0,SUCCESS,118.31,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1070,2025-11-17 09:47:13.849011,2025-11-17 09:50:39.290009,6878,3.42,17058614,17065491,LONG,0,1,120.0,116.0,30.0,-7.25,10.2625,93.0,12.5,30.525000000000013,1.0,9.875,SUCCESS,60.0,,5,9,,FAILURE,54.45,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1071,2025-11-17 09:50:39.290009,2025-11-17 09:57:36.115000,12059,6.95,17065491,17077549,SHORT,0,1,120.0,116.0,30.0,-16.0,8.25,35.2,12.5,30.525000000000013,1.0,8.25,SUCCESS,60.0,,6,9,,SUCCESS,99.5833,False,102.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1072,2025-11-17 09:57:36.115000,2025-11-17 10:03:28.278002,10818,5.87,17077549,17088366,LONG,1,2,-300.0,-308.0,12.0,-37.5,10.2375,92.60000000000001,14.0,24.750000000000004,1.0,9.875,FAILURE,24.0,,7,9,-50.0,SUCCESS,61.46,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1073,2025-11-17 10:03:28.278002,2025-11-17 10:04:05.183003,1894,0.62,17088366,17090259,SHORT,0,1,120.0,116.0,30.0,-2.0,10.1125,86.4,17.75,27.775000000000013,1.0,9.625,SUCCESS,60.0,,8,10,,FAILURE,14.9667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1074,2025-11-17 10:04:05.183003,2025-11-17 10:06:29.598000,5920,2.41,17090259,17096178,LONG,1,2,340.0,332.0,42.5,-25.0,9.7375,76.4,18.375,35.10000000000001,1.0,9.375,SUCCESS,60.0,,9,10,-50.0,SUCCESS,51.3833,False,298.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1075,2025-11-17 10:06:29.598000,2025-11-17 10:07:08.081038,1150,0.64,17096178,17097327,SHORT,0,1,120.0,116.0,30.0,-1.0,10.875,96.0,15.5,29.525000000000013,1.0,11.0,SUCCESS,60.0,,10,10,,SUCCESS,11.1833,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1076,2025-11-17 10:07:08.081038,2025-11-17 10:08:40.752000,4028,1.54,17097327,17101354,LONG,1,2,-300.0,-308.0,5.5,-37.5,11.4375,96.0,15.5,29.525000000000013,1.0,11.375,FAILURE,11.0,,11,10,-50.0,SUCCESS,21.24,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1077,2025-11-17 10:08:40.752000,2025-11-17 10:11:34.323000,7188,2.89,17101354,17108541,SHORT,1,2,-300.0,-308.0,17.25,-37.5,10.7625,91.80000000000001,14.0,39.30000000000001,1.0,9.5,FAILURE,34.5,,12,10,-50.0,FAILURE,39.23,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1078,2025-11-17 10:11:34.323000,2025-11-17 10:19:02.457000,11626,7.47,17108541,17120166,LONG,1,2,-300.0,-308.0,17.0,-37.5,10.1125,79.7,11.375,26.700000000000014,1.0,10.125,FAILURE,34.0,,13,10,-50.0,FAILURE,68.36,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1079,2025-11-17 10:19:02.457000,2025-11-17 10:28:37.947002,16702,9.59,17120166,17136867,SHORT,1,2,-300.0,-308.0,24.25,-37.5,11.5625,92.0,18.25,29.200000000000006,1.0,10.875,FAILURE,48.5,,14,10,-50.0,FAILURE,93.21,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1080,2025-11-17 10:28:37.947002,2025-11-17 10:29:04.945073,1063,0.45,17136867,17137929,LONG,0,1,120.0,116.0,30.0,-0.75,10.75,81.2,13.625,32.825,1.0,9.875,SUCCESS,60.0,,15,10,,FAILURE,7.6333,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1081,2025-11-17 10:29:04.945073,2025-11-17 10:31:27.347000,3975,2.37,17137929,17141903,SHORT,0,1,120.0,116.0,30.0,0.0,10.6375,78.30000000000001,15.125,33.95,1.0,9.625,SUCCESS,60.0,,16,10,,SUCCESS,35.8833,False,101.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1082,2025-11-17 10:31:27.347000,2025-11-17 10:33:05.964018,3092,1.64,17141903,17144994,LONG,1,2,-299.0,-307.0,20.0,-37.375,9.7375,47.300000000000004,13.625,32.825,1.0,9.25,FAILURE,40.0,,17,10,-50.5,SUCCESS,16.08,False,
