trade_id,mode,datetime,direction,touch_type,source_label,zone_top,zone_bot,zone_width_ticks,entry_type,entry_price,stop_ticks,t1_ticks,t2_ticks,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_pnl_ticks,leg2_exit_type,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks
ZB_0011,WTNT,12/26/2025 12:30:49,SHORT,SUPPLY_EDGE,15m,25912.00,25881.50,122.0,MARKET,25878.75,183,61,122,25924.50,25863.50,25848.25,TARGET_1,61.00,TIMECAP,-49.00,21.7000,160,97.00,81.00
ZB_0012,CT,1/2/2026 15:55:07,LONG,DEMAND_EDGE,120m,25376.00,25265.25,443.0,LIMIT_5T,25374.75,664,222,443,25208.75,25430.25,25485.50,TARGET_1,222.00,TIMECAP,339.00,257.6100,160,415.00,51.00
ZB_0013,CT,1/4/2026 21:41:40,LONG,DEMAND_EDGE,30m,25453.75,25434.75,76.0,LIMIT_5T,25452.50,120,38,76,25422.50,25462.00,25471.50,TARGET_1,38.00,TARGET_2,76.00,47.5400,2,110.00,1.00
ZB_0014,WTNT,1/5/2026 01:30:33,LONG,DEMAND_EDGE,30m,25470.00,25452.25,71.0,MARKET,25478.00,120,36,71,25448.00,25487.00,25495.75,TARGET_1,36.00,TARGET_2,71.00,44.5500,4,72.00,37.00
ZB_0015,CT,1/5/2026 09:39:04,LONG,DEMAND_EDGE,60m,25568.25,25520.25,192.0,LIMIT_5T,25567.00,288,96,192,25495.00,25591.00,25615.00,TARGET_1,96.00,TARGET_2,192.00,124.6800,69,200.00,114.00
ZB_0016,CT,1/5/2026 09:49:03,LONG,DEMAND_EDGE,60m,25568.25,25520.25,192.0,LIMIT_5T,25567.00,288,96,192,25495.00,25591.00,25615.00,TARGET_1,96.00,TARGET_2,192.00,124.6800,29,193.00,29.00
ZB_0017,CT,1/5/2026 10:01:29,LONG,DEMAND_EDGE,90m,25568.25,25520.25,192.0,LIMIT_5T,25567.00,288,96,192,25495.00,25591.00,25615.00,TARGET_1,96.00,TARGET_2,192.00,124.6800,6,194.00,4.00
ZB_0018,CT,1/5/2026 14:39:33,LONG,DEMAND_EDGE,60m,25568.25,25520.25,192.0,LIMIT_5T,25567.00,288,96,192,25495.00,25591.00,25615.00,TARGET_1,96.00,TIMECAP,88.00,90.3600,160,184.00,70.00
ZB_0019,CT,1/7/2026 09:05:21,LONG,DEMAND_EDGE,30m,25767.00,25755.25,47.0,LIMIT_5T,25765.75,120,24,47,25735.75,25771.75,25777.50,TARGET_1,24.00,TARGET_2,47.00,28.5900,9,55.00,17.00
ZB_0020,WTNT,1/7/2026 20:22:10,SHORT,SUPPLY_EDGE,30m,25849.75,25830.75,76.0,MARKET,25829.75,120,38,76,25859.75,25820.25,25810.75,TARGET_1,38.00,TARGET_2,76.00,47.5400,16,82.00,43.00
ZB_0021,CT,1/8/2026 14:11:06,LONG,DEMAND_EDGE,15m,25621.75,25569.00,211.0,LIMIT_5T,25620.50,316,106,211,25541.50,25647.00,25673.25,TARGET_1,106.00,TIMECAP,136.00,112.9000,160,156.00,102.00
ZB_0022,CT,1/13/2026 13:59:08,LONG,DEMAND_EDGE,15m,25841.75,25809.25,130.0,LIMIT_5T,25840.50,195,65,130,25791.75,25856.75,25873.00,TARGET_1,65.00,TARGET_2,130.00,83.4500,128,130.00,77.00
ZB_0023,CT,1/13/2026 15:13:07,LONG,DEMAND_EDGE,15m,25841.75,25809.25,130.0,LIMIT_5T,25840.50,195,65,130,25791.75,25856.75,25873.00,TARGET_1,65.00,TARGET_2,130.00,83.4500,111,140.00,149.00
