trade_id,mode,datetime,direction,touch_type,source_label,touch_sequence,F10_raw,F04_raw,F01_raw,F21_raw,F10_bin,F04_bin,F01_bin,F21_bin,F10_points,F04_points,F01_points,F21_points,acal_score,score_margin,trend_slope,trend_label,sbb_label,session,entry_bar_index,entry_price,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_exit_price,leg1_exit_bar,leg1_pnl_ticks,leg2_exit_type,leg2_exit_price,leg2_exit_bar,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks,slippage_ticks,latency_ms
ZB_0023,CT,1/13/2026 12:23:57,SHORT,SUPPLY_EDGE,90m,24,161.0000,NO_PRIOR,90m,33888.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-81.000000,CT,NORMAL,RTH,33504,25983.25,26030.75,25973.25,25963.25,TARGET_1,25973.25,33507,40.00,TARGET_2,25963.25,33509,80.00,50.2000,6,82.00,10.00,0.0,0
ZB_0024,CT,1/13/2026 13:59:08,LONG,DEMAND_EDGE,15m,2,154.0000,PRIOR_HELD,15m,728.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-135.000000,CT,NORMAL,RTH,33839,25840.50,25793.00,25850.50,25860.50,TARGET_1,25850.50,33844,40.00,TARGET_2,25860.50,33893,80.00,50.2000,55,91.00,77.00,0.0,0
ZB_0025,WTNT,1/13/2026 14:17:25,LONG,DEMAND_EDGE,15m,3,154.0000,NO_PRIOR,15m,790.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,45.000000,WT,NORMAL,RTH,33901,25842.00,25782.00,25857.00,25862.00,TARGET_1,25857.00,33908,60.00,TARGET_2,25862.00,33914,80.00,63.6000,14,90.00,16.00,0.0,0
ZB_0026,WTNT,1/13/2026 14:26:24,LONG,DEMAND_EDGE,15m,4,154.0000,PRIOR_HELD,15m,819.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,54.000000,WT,NORMAL,RTH,33930,25843.00,25783.00,25858.00,25863.00,TARGET_1,25858.00,33932,60.00,TARGET_2,25863.00,33934,80.00,63.6000,5,87.00,11.00,0.0,0
ZB_0027,CT,1/13/2026 15:10:59,LONG,DEMAND_EDGE,15m,5,154.0000,NO_PRIOR,15m,926.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-91.000000,CT,NORMAL,RTH,34037,25843.50,25796.00,25853.50,25863.50,TARGET_1,25853.50,34129,40.00,TARGET_2,25863.50,34138,80.00,50.2000,102,90.00,161.00,0.0,0
ZB_0028,CT,1/14/2026 13:36:09,LONG,DEMAND_EDGE,15m,2,57.0000,NO_PRIOR,15m,15319.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-223.000000,CT,NORMAL,RTH,36118,25434.75,25387.25,25444.75,25454.75,TARGET_1,25444.75,36121,40.00,TARGET_2,25454.75,36141,80.00,50.2000,24,83.00,56.00,0.0,0
ZB_0029,CT,1/14/2026 14:04:15,LONG,DEMAND_EDGE,15m,2,148.0000,PRIOR_HELD,15m,50.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-47.000000,CT,NORMAL,RTH,36229,25497.00,25449.50,25507.00,25517.00,TARGET_1,25507.00,36237,40.00,TARGET_2,25517.00,36266,80.00,50.2000,38,96.00,44.00,0.0,0
ZB_0030,CT,1/14/2026 14:56:10,LONG,DEMAND_EDGE,15m,4,148.0000,NO_PRIOR,15m,162.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,-111.000000,CT,NORMAL,RTH,36341,25502.75,25455.25,25512.75,25522.75,TARGET_1,25512.75,36343,40.00,TARGET_2,25522.75,36372,80.00,50.2000,32,107.00,169.00,0.0,0
ZB_0031,WTNT,1/15/2026 09:54:35,SHORT,SUPPLY_EDGE,30m,2,151.0000,PRIOR_HELD,30m,92.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,10.000000,WT,NORMAL,RTH,37605,25899.25,25959.25,25884.25,25879.25,TARGET_1,25884.25,37626,60.00,TARGET_2,25879.25,37626,80.00,63.6000,22,81.00,75.00,0.0,0
ZB_0032,WTNT,1/15/2026 11:12:51,SHORT,SUPPLY_EDGE,60m,5,151.0000,PRIOR_HELD,60m,431.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,22.000000,WT,NORMAL,RTH,38074,25899.75,25959.75,25884.75,25879.75,TARGET_1,25884.75,38149,60.00,TIMECAP,25933.25,38233,-134.00,-7.0200,160,71.00,150.00,0.0,0
ZB_0033,CT,1/15/2026 12:18:46,SHORT,SUPPLY_EDGE,30m,9,151.0000,NO_PRIOR,30m,764.0000,0,2,2,1,10.0000,5.9400,3.4400,2.2100,21.5900,4.9300,-69.000000,CT,NORMAL,RTH,38277,25900.75,25948.25,25890.75,25880.75,TARGET_1,25890.75,38293,40.00,TARGET_2,25880.75,38301,80.00,50.2000,25,93.00,37.00,0.0,0
ZB_0034,CT,1/15/2026 15:39:25,LONG,DEMAND_EDGE,30m,3,67.0000,NO_PRIOR,30m,1949.0000,0,2,2,2,10.0000,5.9400,3.4400,0.0000,19.3800,2.7200,-71.000000,CT,NORMAL,RTH,38960,25694.00,25646.50,25704.00,25714.00,TARGET_1,25704.00,38962,40.00,TARGET_2,25714.00,38971,80.00,50.2000,12,86.00,28.00,0.0,0
ZB_0035,WTNT,1/16/2026 09:01:16,SHORT,SUPPLY_EDGE,30m,2,217.0000,PRIOR_BROKE,30m,42.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,25.000000,WT,SBB,ETH,39396,25834.25,25894.25,25819.25,25814.25,TIMECAP,25866.25,39555,-128.00,TIMECAP,25866.25,39555,-128.00,-131.0000,160,45.00,227.00,0.0,0
ZB_0036,CT,1/20/2026 15:59:52,LONG,DEMAND_EDGE,15m,2,103.0000,PRIOR_HELD,15m,86.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-37.000000,CT,NORMAL,RTH,44388,25131.25,25083.75,25141.25,25151.25,TARGET_1,25141.25,44400,40.00,TARGET_2,25151.25,44415,80.00,50.2000,28,86.00,16.00,0.0,0
ZB_0037,CT,1/20/2026 16:33:16,LONG,DEMAND_EDGE,15m,4,103.0000,PRIOR_HELD,15m,164.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-68.000000,CT,NORMAL,ETH,44466,25130.00,25082.50,25140.00,25150.00,TARGET_1,25140.00,44474,40.00,TARGET_2,25150.00,44481,80.00,50.2000,16,88.00,30.00,0.0,0
ZB_0038,CT,1/22/2026 07:23:34,SHORT,SUPPLY_EDGE,15m,2,204.0000,PRIOR_HELD,15m,28.0000,0,1,1,0,10.0000,2.9700,1.7200,4.4200,19.1100,2.4500,-17.000000,CT,NORMAL,ETH,47969,25687.00,25734.50,25677.00,25667.00,TARGET_1,25677.00,47971,40.00,STOP,25734.50,48037,-190.00,-38.9000,69,63.00,198.00,0.0,0
ZB_0039,WTNT,1/22/2026 12:08:26,SHORT,SUPPLY_EDGE,90m,2,129.0000,NO_PRIOR,90m,496.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,41.000000,WT,NORMAL,RTH,49019,25688.50,25748.50,25673.50,25668.50,TARGET_1,25673.50,49037,60.00,TARGET_2,25668.50,49049,80.00,63.6000,31,105.00,22.00,0.0,0
ZB_0040,WTNT,1/22/2026 12:30:38,SHORT,SUPPLY_EDGE,90m,4,129.0000,PRIOR_HELD,90m,560.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,16.000000,WT,NORMAL,RTH,49083,25691.50,25751.50,25676.50,25671.50,TIMECAP,25692.50,49242,-4.00,TIMECAP,25692.50,49242,-4.00,-7.0000,160,48.00,128.00,0.0,0
ZB_0041,CT,1/22/2026 13:54:01,SHORT,SUPPLY_EDGE,90m,6,161.0000,PRIOR_HELD,90m,739.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-61.000000,CT,NORMAL,RTH,49262,25687.75,25735.25,25677.75,25667.75,TARGET_1,25677.75,49269,40.00,TARGET_2,25667.75,49275,80.00,50.2000,14,83.00,17.00,0.0,0
ZB_0042,CT,1/22/2026 14:03:32,SHORT,SUPPLY_EDGE,90m,7,161.0000,PRIOR_HELD,90m,766.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-65.000000,CT,NORMAL,RTH,49289,25691.25,25738.75,25681.25,25671.25,TARGET_1,25681.25,49359,40.00,TARGET_2,25671.25,49370,80.00,50.2000,82,82.00,96.00,0.0,0
ZB_0043,CT,1/28/2026 07:48:57,SHORT,SUPPLY_EDGE,30m,2,27.0000,PRIOR_BROKE,30m,33.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-18.000000,CT,NORMAL,ETH,55548,26299.25,26346.75,26289.25,26279.25,TARGET_1,26289.25,55548,40.00,TARGET_2,26279.25,55561,80.00,50.2000,14,94.00,27.00,0.0,0
ZB_0044,CT,1/29/2026 06:58:30,SHORT,SUPPLY_EDGE,30m,2,68.0000,PRIOR_BROKE,30m,26.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-26.000000,CT,NORMAL,ETH,57559,26206.00,26253.50,26196.00,26186.00,TARGET_1,26196.00,57568,40.00,TARGET_2,26186.00,57573,80.00,50.2000,15,112.00,63.00,0.0,0
ZB_0045,CT,1/29/2026 18:33:51,SHORT,SUPPLY_EDGE,60m,2,152.0000,PRIOR_HELD,60m,31.0000,0,1,1,0,10.0000,2.9700,1.7200,4.4200,19.1100,2.4500,-46.000000,CT,NORMAL,ETH,60026,25990.00,26037.50,25980.00,25970.00,TARGET_1,25980.00,60033,40.00,TARGET_2,25970.00,60037,80.00,50.2000,12,113.00,120.00,0.0,0
ZB_0046,WTNT,1/29/2026 19:33:20,SHORT,SUPPLY_EDGE,60m,3,152.0000,PRIOR_HELD,60m,70.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,49.000000,WT,NORMAL,ETH,60064,25971.50,26031.50,25956.50,25951.50,TARGET_1,25956.50,60067,60.00,TARGET_2,25951.50,60067,80.00,63.6000,4,109.00,89.00,0.0,0
ZB_0047,WTNT,1/30/2026 10:46:43,SHORT,SUPPLY_EDGE,15m,4,46.0000,NO_PRIOR,15m,1136.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,286.000000,WT,NORMAL,RTH,61217,25919.00,25979.00,25904.00,25899.00,TARGET_1,25904.00,61233,60.00,TARGET_2,25899.00,61236,80.00,63.6000,20,94.00,60.00,0.0,0
ZB_0048,WTNT,1/30/2026 13:58:59,SHORT,SUPPLY_EDGE,30m,2,93.0000,PRIOR_HELD,30m,341.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,318.000000,WT,NORMAL,RTH,62115,25755.50,25815.50,25740.50,25735.50,TARGET_1,25740.50,62122,60.00,TARGET_2,25735.50,62142,80.00,63.6000,28,82.00,65.00,0.0,0
ZB_0049,WTNT,1/30/2026 14:12:10,SHORT,SUPPLY_EDGE,30m,4,93.0000,PRIOR_HELD,30m,405.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,42.000000,WT,NORMAL,RTH,62179,25760.00,25820.00,25745.00,25740.00,TARGET_1,25745.00,62180,60.00,TARGET_2,25740.00,62181,80.00,63.6000,3,84.00,14.00,0.0,0
ZB_0050,WTNT,1/30/2026 14:21:49,SHORT,SUPPLY_EDGE,30m,5,21.0000,PRIOR_HELD,30m,442.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,20.000000,WT,NORMAL,RTH,62216,25754.50,25814.50,25739.50,25734.50,TARGET_1,25739.50,62221,60.00,TARGET_2,25734.50,62221,80.00,63.6000,6,80.00,26.00,0.0,0
ZB_0051,CT,1/30/2026 15:59:01,SHORT,SUPPLY_EDGE,60m,4,142.0000,PRIOR_HELD,60m,298.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-59.000000,CT,NORMAL,RTH,62670,25668.00,25715.50,25658.00,25648.00,TARGET_1,25658.00,62679,40.00,TARGET_2,25648.00,62740,80.00,50.2000,71,101.00,156.00,0.0,0
ZB_0052,CT,1/30/2026 16:23:02,SHORT,SUPPLY_EDGE,60m,6,142.0000,PRIOR_HELD,60m,404.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-88.000000,CT,NORMAL,ETH,62776,25666.25,25713.75,25656.25,25646.25,TARGET_1,25656.25,62779,40.00,TARGET_2,25646.25,62781,80.00,50.2000,6,92.00,41.00,0.0,0
ZB_0053,CT,2/3/2026 14:25:50,LONG,DEMAND_EDGE,15m,2,220.0000,PRIOR_HELD,15m,101.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-116.000000,CT,NORMAL,RTH,67282,25293.75,25246.25,25303.75,25313.75,TARGET_1,25303.75,67295,40.00,TARGET_2,25313.75,67295,80.00,50.2000,14,81.00,61.00,0.0,0
ZB_0054,CT,2/3/2026 14:29:46,LONG,DEMAND_EDGE,15m,3,220.0000,PRIOR_HELD,15m,123.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-202.000000,CT,NORMAL,RTH,67305,25295.75,25248.25,25305.75,25315.75,TARGET_1,25305.75,67309,40.00,TARGET_2,25315.75,67309,80.00,50.2000,5,95.00,36.00,0.0,0
ZB_0055,CT,2/3/2026 14:32:45,LONG,DEMAND_EDGE,15m,4,220.0000,PRIOR_HELD,15m,145.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-166.000000,CT,NORMAL,RTH,67327,25281.50,25234.00,25291.50,25301.50,TARGET_1,25291.50,67328,40.00,TARGET_2,25301.50,67330,80.00,50.2000,4,86.00,4.00,0.0,0
ZB_0056,CT,2/3/2026 14:38:45,LONG,DEMAND_EDGE,15m,5,220.0000,PRIOR_HELD,15m,167.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-82.000000,CT,NORMAL,RTH,67349,25290.00,25242.50,25300.00,25310.00,STOP,25242.50,67391,-190.00,STOP,25242.50,67391,-190.00,-193.0000,43,35.00,205.00,0.0,0
ZB_0057,CT,2/3/2026 15:15:18,LONG,DEMAND_EDGE,15m,2,99.0000,PRIOR_HELD,15m,85.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-114.000000,CT,NORMAL,RTH,67483,25284.00,25236.50,25294.00,25304.00,TARGET_1,25294.00,67483,40.00,TARGET_2,25304.00,67487,80.00,50.2000,5,87.00,0.00,0.0,0
ZB_0058,CT,2/3/2026 15:20:52,LONG,DEMAND_EDGE,15m,3,32.0000,PRIOR_HELD,15m,107.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-12.000000,CT,NORMAL,RTH,67505,25295.50,25248.00,25305.50,25315.50,TARGET_1,25305.50,67507,40.00,TARGET_2,25315.50,67513,80.00,50.2000,9,108.00,19.00,0.0,0
ZB_0059,CT,2/3/2026 21:52:29,LONG,DEMAND_EDGE,30m,2,203.0000,PRIOR_BROKE,30m,44.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-35.000000,CT,NORMAL,ETH,67919,25411.75,25364.25,25421.75,25431.75,TARGET_1,25421.75,67920,40.00,TARGET_2,25431.75,67923,80.00,50.2000,5,85.00,49.00,0.0,0
ZB_0060,CT,2/4/2026 13:32:37,LONG,DEMAND_EDGE,15m,2,160.0000,PRIOR_HELD,15m,54.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-3.000000,CT,NORMAL,RTH,69951,24871.50,24824.00,24881.50,24891.50,TARGET_1,24881.50,69964,40.00,TARGET_2,24891.50,69964,80.00,50.2000,14,101.00,77.00,0.0,0
ZB_0061,CT,2/4/2026 13:38:12,LONG,DEMAND_EDGE,15m,3,160.0000,PRIOR_HELD,15m,80.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-242.000000,CT,NORMAL,RTH,69977,24879.50,24832.00,24889.50,24899.50,TARGET_1,24889.50,69978,40.00,TARGET_2,24899.50,69990,80.00,50.2000,14,85.00,46.00,0.0,0
ZB_0062,WTNT,2/4/2026 13:45:18,LONG,DEMAND_EDGE,15m,4,160.0000,PRIOR_HELD,15m,110.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,48.000000,WT,NORMAL,RTH,70007,24875.50,24815.50,24890.50,24895.50,TARGET_1,24890.50,70011,60.00,TARGET_2,24895.50,70019,80.00,63.6000,13,81.00,42.00,0.0,0
ZB_0063,CT,2/4/2026 13:53:37,LONG,DEMAND_EDGE,15m,5,160.0000,PRIOR_HELD,15m,142.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-55.000000,CT,NORMAL,RTH,70039,24870.75,24823.25,24880.75,24890.75,TARGET_1,24880.75,70039,40.00,TARGET_2,24890.75,70040,80.00,50.2000,2,99.00,2.00,0.0,0
ZB_0064,CT,2/4/2026 14:05:11,LONG,DEMAND_EDGE,15m,6,40.0000,PRIOR_HELD,15m,206.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-293.000000,CT,NORMAL,RTH,70103,24874.00,24826.50,24884.00,24894.00,TARGET_1,24884.00,70105,40.00,TARGET_2,24894.00,70122,80.00,50.2000,20,91.00,41.00,0.0,0
ZB_0065,CT,2/4/2026 16:02:56,LONG,DEMAND_EDGE,15m,2,190.0000,PRIOR_HELD,15m,459.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-296.000000,CT,NORMAL,RTH,70628,24930.50,24883.00,24940.50,24950.50,TARGET_1,24940.50,70628,40.00,STOP,24883.00,70636,-190.00,-38.9000,9,42.00,196.00,0.0,0
