rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
47052,CT,-1,85.0,25336.75,53.19,78,TARGET_1,42.0,TARGET_2,85.0,87.0,66.0,42,85,128,47053,47130,17.66,CT,15m
48851,WTNT,-1,105.0,25319.50,35.800000000000004,161,TARGET_1,52.0,END_OF_DATA,12.0,90.0,59.0,52,105,158,48852,49012,18.62,WT,30m
54581,CT,1,184.0,25474.50,119.36000000000001,38,TARGET_1,92.0,TARGET_2,184.0,189.0,8.0,92,184,276,54582,54619,18.62,CT,30m
54776,CT,1,184.0,25474.50,119.36000000000001,56,TARGET_1,92.0,TARGET_2,184.0,184.0,22.0,92,184,276,54777,54832,18.62,CT,30m
54961,WTNT,1,184.0,25476.75,119.36000000000001,63,TARGET_1,92.0,TARGET_2,184.0,184.0,80.0,92,184,276,54962,55024,16.900000000000002,WT,60m
55483,CT,1,68.0,25535.75,42.22,38,TARGET_1,34.0,TARGET_2,68.0,73.0,30.0,34,68,120,55484,55521,19.87,CT,15m
55746,CT,1,271.0,25498.00,177.55,55,TARGET_1,136.0,TARGET_2,271.0,902.0,2.0,136,271,406,55747,55801,18.62,CT,30m
56140,WTNT,1,88.0,25834.25,55.52,32,TARGET_1,44.0,TARGET_2,88.0,91.0,81.0,44,88,132,56141,56172,17.86,WT,30m
56350,WTNT,1,151.0,25835.25,97.75,55,TARGET_1,76.0,TARGET_2,151.0,159.0,13.0,76,151,226,56351,56405,17.86,WT,30m
56480,CT,1,151.0,25833.00,97.75,57,TARGET_1,76.0,TARGET_2,151.0,152.0,40.0,76,151,226,56481,56537,21.590000000000003,CT,30m
56950,CT,1,41.0,25897.00,23.93,21,TARGET_1,20.0,TARGET_2,41.0,48.0,24.0,20,41,120,56968,56988,21.590000000000003,CT,30m
58022,WTNT,1,112.0,26058.25,-20.92,149,TARGET_1,56.0,STOP,-168.0,73.0,172.0,56,112,168,58023,58171,18.62,WT,30m
58321,CT,1,32.0,26007.75,18.28,3,TARGET_1,16.0,TARGET_2,32.0,45.0,7.0,16,32,120,58322,58324,21.590000000000003,CT,30m
61779,CT,-1,488.0,26278.25,321.52000000000004,157,TARGET_1,244.0,TARGET_2,488.0,490.0,52.0,244,488,732,61780,61936,19.87,CT,120m
65590,CT,1,298.0,25926.25,-37.0,161,END_OF_DATA,-34.0,END_OF_DATA,-34.0,107.0,134.0,149,298,447,65591,65751,19.380000000000003,CT,30m
66315,CT,1,465.0,26003.75,305.89,149,TARGET_1,232.0,TARGET_2,465.0,469.0,147.0,232,465,698,66327,66475,19.87,CT,90m
67770,WTNT,-1,468.0,26146.00,149.0,161,END_OF_DATA,152.0,END_OF_DATA,152.0,170.0,81.0,234,468,702,67771,67931,16.900000000000002,WT,120m
72953,WTNT,-1,63.0,25852.25,39.230000000000004,142,TARGET_1,32.0,TARGET_2,63.0,66.0,111.0,32,63,120,72954,73095,19.11,WT,15m
73277,CT,-1,606.0,25743.25,260.40000000000003,161,TARGET_1,303.0,END_OF_DATA,183.0,361.0,127.0,303,606,909,73279,73439,17.66,CT,90m
79221,CT,1,359.0,25110.75,236.07,110,TARGET_1,180.0,TARGET_2,359.0,365.0,54.0,180,359,538,79222,79331,17.86,CT,30m
83902,WTNT,1,172.0,25669.50,111.38000000000001,58,TARGET_1,86.0,TARGET_2,172.0,173.0,160.0,86,172,258,83903,83960,16.900000000000002,WT,60m
84220,WTNT,-1,99.0,25769.25,-151.0,11,STOP,-148.0,STOP,-148.0,0.0,156.0,50,99,148,84221,84231,17.86,WT,30m
89304,WTNT,-1,114.0,25136.25,72.81,54,TARGET_1,57.0,TARGET_2,114.0,120.0,123.0,57,114,171,89305,89358,17.66,WT,15m
92391,WTNT,-1,208.0,25239.50,135.32,35,TARGET_1,104.0,TARGET_2,208.0,216.0,47.0,104,208,312,92392,92426,16.900000000000002,WT,60m
94404,WTNT,-1,380.0,25158.25,153.0,161,END_OF_DATA,156.0,END_OF_DATA,156.0,172.0,171.0,190,380,570,94405,94565,16.900000000000002,WT,15m
