rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
62215,WT,-1,150.0,25754.5,63.60000000000001,6,TARGET_1,60.0,TARGET_2,80.0,80.0,26.0,60,80,240,62216,62221,18.62,WT,30m
62669,CT,-1,440.0,25672.75,50.2,68,TARGET_1,40.0,TARGET_2,80.0,120.0,137.0,40,80,190,62673,62740,16.900000000000002,CT,60m
62775,CT,-1,440.0,25672.75,50.2,5,TARGET_1,40.0,TARGET_2,80.0,96.0,15.0,40,80,190,62776,62780,16.900000000000002,CT,60m
67281,CT,1,282.0,25288.25,50.2,14,TARGET_1,40.0,TARGET_2,80.0,103.0,39.0,40,80,190,67282,67295,16.900000000000002,CT,15m
67304,CT,1,282.0,25288.25,50.2,4,TARGET_1,40.0,TARGET_2,80.0,125.0,6.0,40,80,190,67306,67309,16.900000000000002,CT,15m
67326,CT,1,282.0,25281.5,50.2,4,TARGET_1,40.0,TARGET_2,80.0,86.0,4.0,40,80,190,67327,67330,16.900000000000002,CT,15m
67348,CT,1,282.0,25288.25,-38.900000000000006,43,TARGET_1,40.0,STOP,-190.0,42.0,198.0,40,80,190,67349,67391,16.900000000000002,CT,15m
67482,CT,1,239.0,25284.0,50.2,5,TARGET_1,40.0,TARGET_2,80.0,87.0,0.0,40,80,190,67483,67487,16.900000000000002,CT,15m
67504,CT,1,239.0,25293.0,50.2,8,TARGET_1,40.0,TARGET_2,80.0,86.0,9.0,40,80,190,67505,67512,16.900000000000002,CT,15m
67918,CT,1,118.0,25404.0,50.2,4,TARGET_1,40.0,TARGET_2,80.0,81.0,18.0,40,80,190,67919,67922,17.86,CT,30m
69950,CT,1,219.0,24871.5,50.2,14,TARGET_1,40.0,TARGET_2,80.0,101.0,77.0,40,80,190,69951,69964,16.900000000000002,CT,15m
69976,CT,1,219.0,24872.5,50.2,3,TARGET_1,40.0,TARGET_2,80.0,80.0,18.0,40,80,190,69980,69982,16.900000000000002,CT,15m
70006,WT,1,219.0,24875.5,63.60000000000001,13,TARGET_1,60.0,TARGET_2,80.0,81.0,42.0,60,80,240,70007,70019,16.900000000000002,WT,15m
70038,CT,1,219.0,24870.75,50.2,2,TARGET_1,40.0,TARGET_2,80.0,99.0,2.0,40,80,190,70039,70040,16.900000000000002,CT,15m
70102,CT,1,219.0,24872.5,50.2,8,TARGET_1,40.0,TARGET_2,80.0,85.0,35.0,40,80,190,70103,70110,16.900000000000002,CT,15m
70627,CT,1,239.0,24922.25,50.2,11,TARGET_1,40.0,TARGET_2,80.0,119.0,185.0,40,80,190,70629,70639,16.900000000000002,CT,15m
78265,WT,-1,113.0,25359.0,63.60000000000001,38,TARGET_1,60.0,TARGET_2,80.0,92.0,146.0,60,80,240,78266,78303,16.900000000000002,WT,15m
79242,CT,-1,219.0,25393.75,50.2,6,TARGET_1,40.0,TARGET_2,80.0,101.0,10.0,40,80,190,79243,79248,18.62,CT,30m
79304,CT,-1,219.0,25393.75,50.2,10,TARGET_1,40.0,TARGET_2,80.0,88.0,4.0,40,80,190,79305,79314,21.590000000000003,CT,30m
79530,WT,-1,101.0,25368.25,63.60000000000001,78,TARGET_1,60.0,TARGET_2,80.0,90.0,118.0,60,80,240,79531,79608,16.900000000000002,WT,15m
84593,WT,-1,499.0,24819.0,63.60000000000001,23,TARGET_1,60.0,TARGET_2,80.0,90.0,62.0,60,80,240,84594,84616,16.900000000000002,WT,120m
84845,WT,-1,499.0,24821.5,63.60000000000001,28,TARGET_1,60.0,TARGET_2,80.0,95.0,90.0,60,80,240,84846,84873,16.900000000000002,WT,120m
84983,CT,-1,310.0,24788.5,50.2,38,TARGET_1,40.0,TARGET_2,80.0,94.0,131.0,40,80,190,84984,85021,20.83,CT,30m
86255,CT,1,657.0,24741.75,50.2,2,TARGET_1,40.0,TARGET_2,80.0,88.0,13.0,40,80,190,86257,86258,17.86,CT,30m
87578,CT,1,783.0,24773.25,50.2,5,TARGET_1,40.0,TARGET_2,80.0,216.0,9.0,40,80,190,87579,87583,17.66,CT,90m
91180,CT,1,321.0,24831.0,50.2,40,TARGET_1,40.0,TARGET_2,80.0,92.0,156.0,40,80,190,91181,91220,17.86,CT,30m
96725,WT,-1,152.0,25074.25,63.60000000000001,3,TARGET_1,60.0,TARGET_2,80.0,109.0,0.0,60,80,240,96726,96728,16.900000000000002,WT,15m
96784,WT,-1,152.0,25090.0,63.60000000000001,6,TARGET_1,60.0,TARGET_2,80.0,83.0,13.0,60,80,240,96785,96790,19.87,WT,15m
96881,CT,1,425.0,25033.0,50.2,23,TARGET_1,40.0,TARGET_2,80.0,96.0,68.0,40,80,190,96883,96905,18.62,CT,30m
101115,CT,1,184.0,25013.5,50.2,74,TARGET_1,40.0,TARGET_2,80.0,80.0,100.0,40,80,190,101116,101189,19.87,CT,15m
101237,CT,1,184.0,25014.0,50.2,98,TARGET_1,40.0,TARGET_2,80.0,94.0,77.0,40,80,190,101238,101335,16.900000000000002,CT,15m
101462,CT,1,184.0,25014.0,50.2,49,TARGET_1,40.0,TARGET_2,80.0,90.0,88.0,40,80,190,101464,101512,19.87,CT,15m
101831,WT,1,96.0,25150.0,63.60000000000001,32,TARGET_1,60.0,TARGET_2,80.0,89.0,81.0,60,80,240,101832,101863,20.83,WT,30m
105271,WT,-1,201.0,25051.5,-56.00000000000001,160,TIMECAP,-53.0,TIMECAP,-53.0,45.0,154.0,60,80,240,105272,105431,20.83,WT,30m
105531,CT,1,312.0,24965.5,50.2,5,TARGET_1,40.0,TARGET_2,80.0,81.0,43.0,40,80,190,105532,105536,16.900000000000002,CT,60m
106357,WT,-1,230.0,24984.0,63.60000000000001,17,TARGET_1,60.0,TARGET_2,80.0,88.0,38.0,60,80,240,106358,106374,19.87,WT,60m
106429,WT,-1,230.0,24989.0,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,85.0,34.0,60,80,240,106430,106434,19.87,WT,60m
106483,WT,-1,230.0,24988.75,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,87.0,25.0,60,80,240,106484,106488,19.87,WT,60m
106505,WT,-1,230.0,24985.0,63.60000000000001,41,TARGET_1,60.0,TARGET_2,80.0,84.0,129.0,60,80,240,106506,106546,16.900000000000002,WT,60m
108259,WT,1,104.0,24642.0,63.60000000000001,2,TARGET_1,60.0,TARGET_2,80.0,83.0,28.0,60,80,240,108260,108261,19.11,WT,15m
