index,cycle,cpp_event,cpp_side,cpp_price,cpp_posqty,cpp_pnl,py_event,py_side,py_price,py_posqty,py_pnl,match,mismatch_detail
82,25,REVERSAL_ENTRY,LONG,24243.75,1.0,0.0,REVERSAL_ENTRY,LONG,24292.0,1.0,0.0,PRICE_OFFSET,price_delta=48.25
83,25,REVERSAL,LONG,24269.0,1.0,100.0,ADD,LONG,24266.75,2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:1!=2
84,25,MISSING,,,,,ADD,LONG,24241.5,3.0,0.0,MISSING,
85,25,MISSING,,,,,REVERSAL,LONG,24267.0,3.0,1.0,MISSING,
86,26,REVERSAL_ENTRY,SHORT,24269.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24267.0,1.0,0.0,TOLERANCE,
87,26,ADD,SHORT,24294.5,-2.0,0.0,REVERSAL,SHORT,24241.75,-1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:-2!=-1
88,26,REVERSAL,SHORT,24269.5,-2.0,46.5,MISSING,,,,,MISSING,
89,27,REVERSAL_ENTRY,LONG,24269.5,1.0,0.0,REVERSAL_ENTRY,LONG,24241.75,1.0,0.0,PRICE_OFFSET,price_delta=27.75
90,27,REVERSAL,LONG,24295.25,1.0,103.0,REVERSAL,LONG,24267.25,1.0,102.0,PRICE_OFFSET,price_delta=28.00
91,28,REVERSAL_ENTRY,SHORT,24295.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24267.25,1.0,0.0,PRICE_OFFSET,price_delta=28.50
92,28,ADD,SHORT,24325.75,-2.0,0.0,ADD,SHORT,24292.5,-2.0,0.0,PRICE_OFFSET,price_delta=33.25
93,28,REVERSAL,SHORT,24299.5,-2.0,43.0,REVERSAL,SHORT,24267.25,-2.0,50.5,PRICE_OFFSET,price_delta=32.25
94,29,REVERSAL_ENTRY,LONG,24299.5,1.0,0.0,REVERSAL_ENTRY,LONG,24267.25,1.0,0.0,PRICE_OFFSET,price_delta=32.25
95,29,ADD,LONG,24273.5,2.0,0.0,REVERSAL,LONG,24292.5,1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:2!=1
96,29,ADD,LONG,24248.0,3.0,0.0,MISSING,,,,,MISSING,
97,29,REVERSAL,LONG,24273.25,3.0,-5.3,MISSING,,,,,MISSING,
98,30,REVERSAL_ENTRY,SHORT,24272.25,1.0,0.0,REVERSAL_ENTRY,SHORT,24292.5,1.0,0.0,PRICE_OFFSET,price_delta=20.25
99,30,ADD,SHORT,24297.75,-2.0,0.0,ADD,SHORT,24317.75,-2.0,0.0,PRICE_OFFSET,price_delta=20.00
100,30,REVERSAL,SHORT,24272.25,-2.0,50.0,ADD,SHORT,24343.0,-3.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:-2!=-3
101,30,MISSING,,,,,REVERSAL,SHORT,24317.75,-3.0,0.0,MISSING,
102,31,REVERSAL_ENTRY,LONG,24272.0,1.0,0.0,REVERSAL_ENTRY,LONG,24317.75,1.0,0.0,PRICE_OFFSET,price_delta=45.75
103,31,REVERSAL,LONG,24297.0,1.0,98.0,ADD,LONG,24292.5,2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:1!=2
104,31,MISSING,,,,,ADD,LONG,24267.0,3.0,0.0,MISSING,
105,31,MISSING,,,,,REVERSAL,LONG,24292.5,3.0,0.3,MISSING,
106,32,REVERSAL_ENTRY,SHORT,24297.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24292.5,1.0,0.0,PRICE_OFFSET,price_delta=4.50
107,32,REVERSAL,SHORT,24271.75,-1.0,97.0,REVERSAL,SHORT,24267.25,-1.0,101.0,PRICE_OFFSET,price_delta=4.50
