config_id,label,sd,hs,mcs,time_block,cycle_count,reversals,hard_stops,eod_flattens,win_rate,net_er,total_net_pnl,avg_depth,pct_d0,pct_d1_plus
72,depth_0,25.00,25.00,1,11:00-11:30,671,160,511,0,0.24,19.99,13411.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,11:30-12:00,619,123,496,0,0.20,-5.05,-3126.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,12:00-12:30,495,108,387,0,0.22,7.04,3482.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,12:30-13:00,460,80,380,0,0.17,-20.97,-9645.00,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,13:00-13:30,439,110,329,0,0.25,27.27,11973.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,13:30-14:00,357,63,294,0,0.18,-18.77,-6699.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,14:00-14:30,367,95,272,0,0.26,32.92,12080.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,14:30-15:00,414,98,314,2,0.24,19.93,8251.00,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,15:00-15:30,287,68,216,3,0.25,22.04,6325.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,15:30-15:50,208,34,156,18,0.24,-5.86,-1218.00,0.00,1.00,0.00
79,depth_1,25.00,125.00,2,09:30-10:00,565,399,166,0,0.71,-19.13,-10810.00,0.50,0.50,0.50
79,depth_1,25.00,125.00,2,10:00-10:30,391,284,107,0,0.73,16.08,6288.50,0.53,0.47,0.53
79,depth_1,25.00,125.00,2,10:30-11:00,297,228,69,0,0.77,89.05,26448.50,0.48,0.52,0.48
79,depth_1,25.00,125.00,2,11:00-11:30,316,232,84,0,0.73,30.45,9622.00,0.51,0.49,0.51
79,depth_1,25.00,125.00,2,11:30-12:00,263,193,70,0,0.73,29.94,7875.50,0.47,0.53,0.47
79,depth_1,25.00,125.00,2,12:00-12:30,236,179,57,0,0.76,73.08,17246.00,0.46,0.54,0.46
79,depth_1,25.00,125.00,2,12:30-13:00,199,136,63,0,0.68,-58.70,-11681.00,0.54,0.46,0.54
79,depth_1,25.00,125.00,2,13:00-13:30,189,160,29,0,0.85,227.15,42931.00,0.40,0.60,0.40
79,depth_1,25.00,125.00,2,13:30-14:00,156,100,56,0,0.64,-133.19,-20777.00,0.55,0.45,0.55
79,depth_1,25.00,125.00,2,14:00-14:30,144,105,36,3,0.74,48.71,7014.00,0.50,0.50,0.50
79,depth_1,25.00,125.00,2,14:30-15:00,190,148,35,7,0.80,155.24,29495.00,0.42,0.58,0.42
79,depth_1,25.00,125.00,2,15:00-15:30,128,90,28,10,0.73,66.95,8569.50,0.43,0.57,0.43
79,depth_1,25.00,125.00,2,15:30-15:50,91,42,18,31,0.64,-78.99,-7188.00,0.41,0.59,0.41
107,depth_1,30.00,360.00,2,09:30-10:00,294,245,49,0,0.83,-104.40,-30694.50,0.52,0.48,0.52
107,depth_1,30.00,360.00,2,10:00-10:30,188,165,22,1,0.88,88.75,16685.50,0.47,0.53,0.47
107,depth_1,30.00,360.00,2,10:30-11:00,147,131,15,1,0.89,146.93,21598.00,0.44,0.56,0.44
107,depth_1,30.00,360.00,2,11:00-11:30,144,120,20,4,0.83,-44.28,-6377.00,0.47,0.53,0.47
107,depth_1,30.00,360.00,2,11:30-12:00,129,113,16,0,0.88,75.49,9738.50,0.47,0.53,0.47
107,depth_1,30.00,360.00,2,12:00-12:30,93,80,10,3,0.86,68.69,6388.50,0.49,0.51,0.49
107,depth_1,30.00,360.00,2,12:30-13:00,83,69,14,0,0.83,-114.03,-9464.50,0.65,0.35,0.65
107,depth_1,30.00,360.00,2,13:00-13:30,79,74,5,0,0.94,330.18,26084.50,0.43,0.57,0.43
107,depth_1,30.00,360.00,2,13:30-14:00,70,57,10,3,0.81,-39.91,-2794.00,0.49,0.51,0.49
107,depth_1,30.00,360.00,2,14:00-14:30,72,59,5,8,0.86,156.42,11262.50,0.46,0.54,0.46
