step_dist,hard_stop,max_fades,cycle_count,win_count,loss_count,win_rate,gross_er,net_er,sigma,max_consec_losses,p_pass_eval,p_pass_funded,prop_score,kelly_r,total_gross_pnl_ticks,total_net_pnl_dollars
20.0,30.0,5,9727,2649,7078,0.2723347383571502,-1.24,-5.24,245.63,30,0.300337,0.607431,-0.017407,-0.034718,-2406.0,-50938.0
30.0,60.0,0,3839,1266,2573,0.3297733784839802,-5.16,-9.16,421.6,23,0.339512,0.631766,-0.017748,-0.020623,-3965.0,-35181.0
30.0,60.0,5,3831,1261,2570,0.3291568780997129,-5.72,-9.72,421.38,23,0.335862,0.629565,-0.018842,-0.021906,-4386.0,-37254.0
50.0,20.0,5,2064,191,1873,0.09253875968992248,-3.44,-7.44,311.1,60,0.311182,0.614333,-0.01952,-0.030738,-1419.0,-15351.0
50.0,20.0,0,2103,193,1910,0.091773656680932,-4.2,-8.2,310.02,61,0.301926,0.608451,-0.021599,-0.03413,-1767.0,-17247.0
50.0,20.0,3,1909,175,1734,0.09167103195390257,-4.53,-8.53,309.64,54,0.29798,0.605913,-0.022496,-0.035591,-1730.0,-16286.0
50.0,120.0,3,1252,464,788,0.3706070287539936,-17.61,-21.61,760.93,18,0.355897,0.641502,-0.023186,-0.014927,-4409.0,-27053.0
20.0,20.0,0,11097,2163,8934,0.1949175452825088,-3.78,-7.78,198.78,37,0.194304,0.530319,-0.031974,-0.078801,-8399.0,-86383.0
20.0,20.0,5,10997,2138,8859,0.19441665908884243,-4.02,-8.02,198.62,34,0.189208,0.526004,-0.032951,-0.081272,-8832.0,-88148.0
20.0,20.0,3,10443,2024,8419,0.19381403811165374,-4.37,-8.37,198.37,33,0.181589,0.519408,-0.034441,-0.085055,-9122.0,-87382.0
