sd,hs,time_block,cycle_count,win_count,loss_count,win_rate,net_er,total_net_pnl,reversals,hard_stops,eod_flattens,avg_depth,d0_count,d1_count
20.00,160.00,14:30-15:00,241,210,31,0.87,154.19,37160.50,209,28,4,0.44,135,106
20.00,160.00,15:00-15:30,179,151,28,0.84,122.67,21957.50,148,22,9,0.42,103,76
20.00,160.00,15:30-15:50,128,88,40,0.69,-14.77,-1891.00,75,15,38,0.38,80,48
25.00,125.00,09:30-10:00,565,399,166,0.71,-19.13,-10810.00,399,166,0,0.50,280,285
25.00,125.00,10:00-10:30,391,284,107,0.73,16.08,6288.50,284,107,0,0.53,183,208
25.00,125.00,10:30-11:00,297,228,69,0.77,89.05,26448.50,228,69,0,0.48,155,142
25.00,125.00,11:00-11:30,316,232,84,0.73,30.45,9622.00,232,84,0,0.51,154,162
25.00,125.00,11:30-12:00,263,193,70,0.73,29.94,7875.50,193,70,0,0.47,139,124
25.00,125.00,12:00-12:30,236,179,57,0.76,73.08,17246.00,179,57,0,0.46,128,108
25.00,125.00,12:30-13:00,199,136,63,0.68,-58.70,-11681.00,136,63,0,0.54,92,107
25.00,125.00,13:00-13:30,189,160,29,0.85,227.15,42931.00,160,29,0,0.40,114,75
25.00,125.00,13:30-14:00,156,100,56,0.64,-133.19,-20777.00,100,56,0,0.55,70,86
25.00,125.00,14:00-14:30,144,107,37,0.74,48.71,7014.00,105,36,3,0.50,72,72
25.00,125.00,14:30-15:00,190,152,38,0.80,155.24,29495.00,148,35,7,0.42,110,80
25.00,125.00,15:00-15:30,128,94,34,0.73,66.95,8569.50,90,28,10,0.43,73,55
25.00,125.00,15:30-15:50,91,58,33,0.64,-78.99,-7188.00,42,18,31,0.41,54,37
30.00,360.00,09:30-10:00,294,245,49,0.83,-104.40,-30694.50,245,49,0,0.52,141,153
30.00,360.00,10:00-10:30,188,165,23,0.88,88.75,16685.50,165,22,1,0.47,99,89
30.00,360.00,10:30-11:00,147,131,16,0.89,146.93,21598.00,131,15,1,0.44,82,65
30.00,360.00,11:00-11:30,144,120,24,0.83,-44.28,-6377.00,120,20,4,0.47,76,68
30.00,360.00,11:30-12:00,129,113,16,0.88,75.49,9738.50,113,16,0,0.47,69,60
30.00,360.00,12:00-12:30,93,80,13,0.86,68.69,6388.50,80,10,3,0.49,47,46
30.00,360.00,12:30-13:00,83,69,14,0.83,-114.03,-9464.50,69,14,0,0.65,29,54
30.00,360.00,13:00-13:30,79,74,5,0.94,330.18,26084.50,74,5,0,0.43,45,34
30.00,360.00,13:30-14:00,70,57,13,0.81,-39.91,-2794.00,57,10,3,0.49,36,34
30.00,360.00,14:00-14:30,72,62,10,0.86,156.42,11262.50,59,5,8,0.46,39,33
30.00,360.00,14:30-15:00,76,70,6,0.92,343.62,26115.50,68,3,5,0.41,45,31
30.00,360.00,15:00-15:30,64,52,12,0.81,62.60,4006.50,48,6,10,0.42,37,27
30.00,360.00,15:30-15:50,39,27,12,0.69,20.73,808.50,18,0,21,0.26,29,10
50.00,300.00,09:30-10:00,148,104,44,0.70,-185.72,-27486.00,104,43,1,0.53,70,78
50.00,300.00,10:00-10:30,90,70,20,0.78,110.91,9981.50,70,19,1,0.57,39,51
50.00,300.00,10:30-11:00,62,48,14,0.77,135.60,8407.50,48,13,1,0.53,29,33
50.00,300.00,11:00-11:30,74,54,20,0.73,-49.24,-3644.00,53,18,3,0.41,44,30
50.00,300.00,11:30-12:00,64,53,11,0.83,338.66,21674.00,53,10,1,0.34,42,22
50.00,300.00,12:00-12:30,53,40,13,0.75,23.81,1262.00,39,12,2,0.47,28,25
50.00,300.00,12:30-13:00,54,41,13,0.76,31.56,1704.50,40,13,1,0.54,25,29
50.00,300.00,13:00-13:30,36,24,12,0.67,-205.49,-7397.50,24,10,2,0.53,17,19
50.00,300.00,13:30-14:00,35,22,13,0.63,-104.37,-3653.00,19,7,9,0.37,22,13
50.00,300.00,14:00-14:30,35,26,9,0.74,286.59,10030.50,26,4,5,0.34,23,12
50.00,300.00,14:30-15:00,33,23,10,0.70,-64.38,-2124.50,21,7,5,0.42,19,14
50.00,300.00,15:00-15:30,20,14,6,0.70,35.25,705.00,13,2,5,0.50,10,10
50.00,300.00,15:30-15:50,23,16,7,0.70,324.74,7469.00,7,0,16,0.13,20,3
